C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,sexo_mujer,sexo_hombre,edad,grupo_edad,joven,adulto_mayor,jefe_hogar,conyuge,hijo_hogar,tiene_discapacidad,cantidad_limitaciones,lengua_materna_indigena,autoidentificacion_indigena,autoidentificacion_afro,autoidentificacion_mestizo,nivel_educativo_ord,educacion_basica_o_menos,secundaria_completa,superior_incompleta,superior_completa,universitaria_completa_o_mas,educacion_superior,brecha_educativa_baja,grupo_educativo,trabajador_independiente,trabajador_dependiente,empleador,trabajador_hogar,trabajador_familiar_no_remunerado,sector_publico,sector_privado,empresa_registrada_sunat,empresa_no_registrada_sunat,lleva_libros_contables,posible_informalidad,empresa_pequena,empresa_mediana_grande,busca_otro_empleo,horas_totales,horas_principal,horas_secundaria,trabaja_menos_35h,trabaja_mas_48h,sobrejornada,brecha_horas_normal,tiene_seguro_salud,tiene_essalud,tiene_sis,tiene_afp,tiene_snp,tiene_pension,proteccion_social_completa,ingreso_total,ingreso_principal,ingreso_laboral,ingreso_total_log,ingreso_principal_log,ingreso_laboral_log,ingreso_por_hora,ingreso_por_hora_log,ingreso_secundario_total,tiene_ingreso_secundario,proporcion_ingreso_principal,dependencia_ingreso_principal,bajo_ingreso_relativo,alto_ingreso_relativo,ingreso_cero,ingreso_outlier
2,36.0,1,11,5, ,3,5,1, ,5,600,2,44.0,,44.0,,1600.0,1600.0,2041.0,1600.0,,,,7.378383712996714,7.378383712996714,7.621684998724611,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,36.0,35_44,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,0,1,1,0,0,0,0,1,0,44.0,44.0,0.0,0,0,0,,1,1,0,0,1,1,1,1600.0,1600.0,2041.0,7.378383712996714,7.378383712996714,7.621684998724611,10.71278605920638,2.4606810706777247,0.0,0,1.0,1,0,0,0,0
1,32.0,11,6,5, ,3,5,3,2,1,4,2,36.0,,36.0,,1500.0,1500.0,1500.0,1500.0,,,,7.313886831633462,7.313886831633462,7.313886831633462,5,2,1,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,32.0,25_34,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,0,1,0,1,1,0,0,36.0,36.0,0.0,0,0,0,,1,0,1,0,1,1,1,1500.0,1500.0,1500.0,7.313886831633462,7.313886831633462,7.313886831633462,9.62278675904542,2.363001388080955,0.0,0,1.0,1,0,0,0,0
2,55.0,1,1, , ,2, ,3,2,1,1,2,84.0,,84.0,,570.0,570.0,570.0,,270.0,,,6.3473892096560105,6.3473892096560105,6.3473892096560105,5,2,1,2,2,2,2,2,2,2,2,10,9,0,0,0,0,0,1,0,55.0,55_64,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Sin nivel / Inicial,1,0,0,0,0,0,0,0,1,0,1,1,0,0,84.0,84.0,0.0,0,1,1,,1,0,1,0,0,0,0,570.0,570.0,570.0,6.3473892096560105,6.3473892096560105,6.3473892096560105,1.5671395579016825,0.942792266559127,270.0,1,1.0,1,1,0,0,0
1,31.0,1,9,3, ,3,5,1, ,5,1000,2,45.0,,45.0,,7500.0,7500.0,9375.0,7500.0,,,,8.922791623969637,8.922791623969637,9.145908511816794,3,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,1,1,0,1,31.0,25_34,0,0,1,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,Superior universitaria,0,1,0,0,0,0,1,1,0,0,0,0,1,0,45.0,45.0,0.0,0,0,0,,1,1,0,1,0,1,1,7500.0,7500.0,9375.0,8.922791623969637,8.922791623969637,9.145908511816794,48.1139337952271,3.894142778558253,0.0,0,1.0,1,0,1,0,1
2,48.0,2,9,3, ,3,2, , ,5,1000,2,38.0,,38.0,,1700.0,1700.0,1751.0,1700.0,,,,7.438971592395862,7.438971592395862,7.468513271496337,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,48.0,45_54,0,0,0,1,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,Superior universitaria,0,1,0,0,0,1,0,0,0,0,0,0,1,0,38.0,38.0,0.0,0,0,0,,1,1,0,0,1,1,1,1700.0,1700.0,1751.0,7.438971592395862,7.438971592395862,7.468513271496337,10.64178923058223,2.454601144458056,0.0,0,1.0,1,0,0,0,0
1,34.0,1,6,5, ,3,5,3,2,1,2,2,48.0,,48.0,,3464.0,3464.0,3464.0,3464.0,,,,8.150467911624004,8.150467911624004,8.150467911624004,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,34.0,25_34,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,0,1,0,1,1,0,0,48.0,48.0,0.0,0,0,0,,1,1,0,0,1,1,1,3464.0,3464.0,3464.0,8.150467911624004,8.150467911624004,8.150467911624004,16.666666666666668,2.8716796248840124,0.0,0,1.0,1,0,1,0,0
1,34.0,1,11,5, ,3,5,1, ,3,100,2,34.0,,52.0,52.0,3000.0,3000.0,4326.0,3000.0,,,,8.006700845440367,8.006700845440367,8.372629740224884,1,1,2,1,2,2,2,2,2,2,2,10,1,0,0,0,0,0,0,1,34.0,25_34,0,0,1,0,0,0,0,0,1,0,0,11,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,0,1,1,0,0,0,0,1,0,52.0,34.0,0.0,0,1,0,0.0,1,1,0,1,0,1,1,3000.0,3000.0,4326.0,8.006700845440367,8.006700845440367,8.372629740224884,19.2130040859833,3.006326163911148,0.0,0,1.0,1,0,1,0,0
2,31.0,3,6,5, ,3,5,1, ,5,600,2,48.0,,48.0,,1025.0,1025.0,1294.0,1025.0,,,,6.933423025730715,6.933423025730715,7.166265974133638,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,31.0,25_34,0,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,0,1,0,48.0,48.0,0.0,0,0,0,,1,1,0,1,0,1,1,1025.0,1025.0,1294.0,6.933423025730715,6.933423025730715,7.166265974133638,6.225943033102387,1.977677749093817,0.0,0,1.0,1,0,0,0,0
2,31.0,2,11,5, ,2, ,2,1,1,1,2,42.0,,42.0,,2180.0,2180.0,2180.0,,2180.0,,,7.687538766201629,7.687538766201629,7.687538766201629,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,31.0,25_34,0,0,0,1,0,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,1,0,0,0,0,0,0,1,0,1,0,1,0,0,42.0,42.0,0.0,0,0,0,,1,0,1,0,0,0,0,2180.0,2180.0,2180.0,7.687538766201629,7.687538766201629,7.687538766201629,11.98724293412515,2.5639675628993417,2180.0,1,1.0,1,0,0,0,0
2,19.0,1,6,5, ,2, ,3,2,1,1,2,44.0,18.0,62.0,,2379.0,1729.0,2379.0,,1729.0,650.0,,7.77485576666552,7.455876687491824,7.77485576666552,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,19.0,14_24,1,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,62.0,44.0,18.0,0,1,1,,1,0,1,0,0,0,0,2379.0,1729.0,2379.0,7.77485576666552,7.455876687491824,7.77485576666552,8.861655367652537,2.288654041708923,2379.0,1,0.726775956284153,0,0,0,0,0
