C318_T,INGTOT_log,INGTRABW_log,INGTOT,ingtrabw,C335_1,C335_2,busca_otro_empleo,I342,trabaja_menos_35h,INGTOTP,ingreso_por_hora_log,ingreso_secundario_total,ingreso_por_hora,C377,SEGURO1,INGTOTP_log,C208,horas_secundaria,I339_1,tiene_pension,C207,whoraT,tiene_sis,C361_5,C328_T,C366,grupo_edad_35_44,jefe_hogar,C311_ ,empresa_registrada_sunat,tiene_seguro_salud,proteccion_social_completa
60.0,8.293299358711323,8.293299358711323,3996.0,3996.0,False,True,0,3996.0,0,3996.0,2.7961259331995967,3996.0,15.381062355658198,7,6,8.293299358711323,30.0,0.0,1500.0,1,1,60.0,0,2,10.0,11,False,1,True,1,0,0
45.0,7.824445930877619,7.824445930877619,2500.0,2500.0,False,True,0,1160.0,0,2500.0,2.6268677913822933,0.0,12.830382345393891,7,1,7.824445930877619,51.0,0.0,2500.0,1,1,45.0,0,2,10.0,10,False,1,False,0,1,1
36.0,7.601402334583733,7.681099001536359,2000.0,2166.0,False,True,0,1160.0,0,2000.0,2.328597424944724,0.0,9.263536053374391,7,1,7.601402334583733,21.0,0.0,2000.0,1,2,54.0,0,2,10.0,9,False,0,False,1,1,1
24.0,6.373319789577012,6.373319789577012,585.0,585.0,False,True,0,1160.0,1,585.0,1.8915037816052016,0.0,5.62933025404157,1,5,6.373319789577012,60.0,0.0,325.0,0,2,24.0,1,1,10.0,5,False,1,True,0,1,0
6.0,7.664346632098617,7.664346632098617,2130.0,2130.0,False,True,0,2080.0,0,2130.0,2.219052855179154,2080.0,8.198614318706698,7,5,7.664346632098617,22.0,0.0,1500.0,0,2,60.0,1,1,10.0,5,False,0,True,0,1,0
72.0,7.313886831633462,7.509883061154913,1500.0,1825.0,False,True,0,1160.0,0,1500.0,1.9248122810094024,0.0,5.853861945085964,7,1,7.313886831633462,22.0,0.0,1500.0,1,1,72.0,0,2,10.0,6,False,0,False,1,1,1
48.0,7.2868764117507,7.2868764117507,1460.0,1460.0,False,True,0,1160.0,0,1460.0,2.0825161021340817,0.0,7.0246343341031565,5,5,7.2868764117507,61.0,0.0,800.0,0,2,48.0,1,1,10.0,4,False,0,True,0,1,0
48.0,7.170888478512505,7.170888478512505,1300.0,1300.0,False,True,0,1300.0,0,1300.0,1.9816648892207684,1300.0,6.254811393379523,9,5,7.170888478512505,37.0,0.0,1500.0,0,2,48.0,1,1,10.0,6,True,0,True,0,1,0
70.0,5.707110264748875,5.707110264748875,300.0,300.0,False,True,0,300.0,0,300.0,0.6880202363931835,300.0,0.9897723523589572,7,5,5.707110264748875,66.0,0.0,1500.0,0,2,70.0,1,1,10.0,6,False,1,True,0,1,0
36.0,7.491645473605133,7.491645473605133,1792.0,1792.0,False,True,0,1532.0,0,1792.0,2.5254104001918023,1532.0,11.496022581472928,7,5,7.491645473605133,54.0,0.0,1500.0,0,2,36.0,1,1,10.0,6,False,1,True,0,1,0
59.0,7.601402334583733,7.834788107388194,2000.0,2526.0,False,True,0,1160.0,0,2000.0,2.387629857989699,0.0,9.887658042040162,5,1,7.601402334583733,38.0,0.0,2000.0,1,2,59.0,0,2,10.0,10,True,0,False,1,1,1
27.0,7.4821189235521155,7.4821189235521155,1775.0,1775.0,False,True,0,1160.0,0,1775.0,2.150751175407892,0.0,7.591309554358053,7,5,7.4821189235521155,38.0,0.0,1645.0,0,1,54.0,1,1,10.0,5,True,0,False,1,1,0
