feature,mi_score,rank_mi,rf_importance,rank_rf,abs_logit_coef,rank_logit,combined_rank
tiene_snp,0.00029455729900518257,96,0.004273861051583414,59,0.07399200800825727,46,67.0
C364_2,0.00017162059561059984,102,0.004517167973279068,56,0.07399200800834362,45,67.66666666666667
sector_publico,0.0008718299223915427,86,0.0012655466643377456,108,0.20629114326319853,11,68.33333333333333
grupo_edad_14_24,0.0008785019438517505,85,0.004309457574699902,58,0.042819950251301045,68,70.33333333333333
grupo_educativo_Superior universitaria,0.003116985191939925,62,0.004999653008333899,48,0.016278063879292138,101,70.33333333333333
empresa_mediana_grande,0.0057839057966333485,36,0.0026596460695963832,89,0.025882413935886688,87,70.66666666666667
C366_2_ ,0.00805355579097533,23,0.0011794078339775536,110,0.03113000139131189,80,71.0
tiene_ingreso_secundario,0.006146286100472631,33,0.0031880781489960265,80,0.01654654451208839,100,71.0
grupo_edad_65_mas,0.0006054619611741696,91,0.002965107275567165,86,0.08528628803066984,40,72.33333333333333
sector_privado,0.003353280139423598,58,0.0031670172780686157,82,0.03346559702541967,78,72.66666666666667
C366_1_5,0.0,125,0.0067201339196031025,31,0.046306149040726975,64,73.33333333333333
C361_1,0.004477544438244108,44,0.003881811660639102,68,0.011444387384449878,108,73.33333333333333
bajo_ingreso_relativo,0.009329891473292218,18,0.0020831859806029244,93,0.011333451028149925,110,73.66666666666667
superior_completa,0.0002855329770548032,97,0.004617395835866885,52,0.03884312240311482,73,74.0
trabajador_familiar_no_remunerado,0.0,108,0.0011943251650285108,109,0.2524551544756271,7,74.66666666666667
C310,0.002137210715769111,71,0.004798246123100653,50,0.01273061826350593,104,75.0
C203,0.002106511294415192,72,0.01629723539331076,17,0.0006145079852529199,136,75.0
ingreso_outlier,0.0028898343682062233,65,0.000520853572735049,117,0.07408590973973679,44,75.33333333333333
educacion_superior,0.004391371905156483,47,0.004196003489902112,62,0.00826453756860482,117,75.33333333333333
tiene_essalud,0.0037808264222523036,54,0.003908372754245612,67,0.011444387384449878,109,76.66666666666667
C376,0.0,116,0.004063503517287667,66,0.06267698367999484,50,77.33333333333333
adulto_mayor,0.0,105,0.002780865277316304,88,0.08528628803066991,39,77.33333333333333
trabajador_hogar,0.0,114,0.0007357547979842356,113,0.2246233678779489,9,78.66666666666667
C318_T_missing_flag,0.005473803297940227,39,2.2420174078244773e-06,138,0.05391377845069374,59,78.66666666666667
C312_ ,0.0,131,0.0018616717394809418,98,0.20760899945185413,10,79.66666666666667
C366_1_1,0.0001940148938444075,100,0.004271299131275174,60,0.029867381364008076,81,80.33333333333333
grupo_educativo_Secundaria completa,0.0011424635661221316,80,0.00464304174682274,51,0.008763855852078263,116,82.33333333333333
C311_2,0.0,132,0.0013083959774591073,107,0.19436970225059594,12,83.66666666666667
C313_1,0.0018017950182658282,74,0.0019430223112097442,96,0.029742022816345276,82,84.0
C311_1,0.003106276073686187,63,0.0002401788679426597,127,0.045881404722809466,65,85.0
grupo_edad_25_34,0.0,135,0.00689685495064253,30,0.02465742220810019,90,85.0
C375_6,0.009221123590710478,19,0.0001923931916805332,128,0.009230303720598547,114,87.0
C366_1_3,0.0,126,0.005635378092860342,40,0.01974586381550248,96,87.33333333333333
C366_1_7,0.0012480625610582496,78,0.00030239800649372087,123,0.044421885642098966,66,89.0
C375_5,0.00521953661432728,42,0.0001318761940193645,131,0.020596196096344537,95,89.33333333333333
grupo_educativo_Posgrado,0.0005081869141860818,92,0.003499501002996201,73,0.012456422765467264,105,90.0
C366_2_2,0.001206070570039186,79,0.0002834011574158075,124,0.0428337094344333,67,90.0
grupo_educativo_Sin nivel / Inicial,0.005303099707529402,40,0.0005155782236404561,118,0.009338833595825312,113,90.33333333333333
C366_1_2,0.0,129,0.005482494854276313,42,0.013207445317764823,103,91.33333333333333
C375_3,0.007182847257543923,24,5.687104541391117e-05,135,0.008113877481199013,118,92.33333333333333
C312_2,0.00099007549124841,82,0.004197114618014352,61,0.0009967102811902708,135,92.66666666666667
