C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,target_subempleo_horas,sexo_mujer,sexo_hombre,edad,grupo_edad,joven,adulto_mayor,jefe_hogar,conyuge,hijo_hogar,tiene_discapacidad,cantidad_limitaciones,lengua_materna_indigena,autoidentificacion_indigena,autoidentificacion_afro,autoidentificacion_mestizo,nivel_educativo_ord,educacion_basica_o_menos,secundaria_completa,superior_incompleta,superior_completa,universitaria_completa_o_mas,educacion_superior,brecha_educativa_baja,grupo_educativo,trabajador_independiente,trabajador_dependiente,empleador,trabajador_hogar,trabajador_familiar_no_remunerado,sector_publico,sector_privado,empresa_registrada_sunat,empresa_no_registrada_sunat,lleva_libros_contables,posible_informalidad,empresa_pequena,empresa_mediana_grande,busca_otro_empleo,horas_totales,horas_principal,horas_secundaria,trabaja_menos_35h,trabaja_mas_48h,sobrejornada,brecha_horas_normal,tiene_seguro_salud,tiene_essalud,tiene_sis,tiene_afp,tiene_snp,tiene_pension,proteccion_social_completa,ingreso_total,ingreso_principal,ingreso_laboral,ingreso_total_log,ingreso_principal_log,ingreso_laboral_log,ingreso_por_hora,ingreso_por_hora_log,ingreso_secundario_total,tiene_ingreso_secundario,proporcion_ingreso_principal,dependencia_ingreso_principal,bajo_ingreso_relativo,alto_ingreso_relativo,ingreso_cero,ingreso_outlier
2,56.0,1,8,1, ,2, ,3,2,1,1,2,39.0,,39.0,,606.0,606.0,606.0,,606.0,,,6.408528791059498,6.408528791059498,6.408528791059498,1,1,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,56.0,55_64,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,1,0,1,0,Superior no universitaria,1,0,0,0,0,0,0,0,1,0,1,1,0,0,39.0,39.0,0.0,0,0,0,,1,1,0,0,0,0,0,606.0,606.0,606.0,6.408528791059498,6.408528791059498,6.408528791059498,3.588559246757861,1.5235660852035662,606.0,1,1.0,1,1,0,0,0
2,21.0,3,6,5, ,3,5,1, ,1,10,1,6.0,24.0,30.0,,1360.0,400.0,1360.0,400.0,,960.0,,7.215975002651466,5.993961427306569,7.215975002651466,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,21.0,14_24,1,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,1,0,1,30.0,6.0,24.0,1,0,0,,1,0,1,0,0,0,0,1360.0,400.0,1360.0,7.215975002651466,5.993961427306569,7.215975002651466,10.469591993841416,2.4396993589167395,960.0,1,0.29411764705882354,0,0,0,0,0
1,62.0,1,5,4, ,2, ,3,2,1,1,2,28.0,,28.0,,1732.0,1732.0,1732.0,,1732.0,,,7.457609289715606,7.457609289715606,7.457609289715606,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,62.0,55_64,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,Secundaria incompleta,1,0,0,0,0,0,0,0,1,0,1,1,0,0,28.0,28.0,0.0,1,0,0,,1,0,1,0,0,0,0,1732.0,1732.0,1732.0,7.457609289715606,7.457609289715606,7.457609289715606,14.285714285714285,2.7269186854065928,1732.0,1,1.0,1,0,0,0,0
1,26.0,3,10,2, ,3,5,1, ,2,32,2,20.0,,20.0,,817.0,817.0,817.0,600.0,,,,6.706862336602747,6.706862336602747,6.706862336602747,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,26.0,25_34,1,0,0,0,1,0,0,0,0,0,1,10,0,0,0,1,1,1,0,Superior universitaria,0,1,0,0,0,0,1,1,0,0,0,1,0,0,20.0,20.0,0.0,1,0,0,,1,1,0,1,0,1,1,817.0,817.0,817.0,6.706862336602747,6.706862336602747,6.706862336602747,9.43418013856813,2.3450869690254588,0.0,0,1.0,1,1,0,0,0
1,49.0,1,6,5, ,3,5,1, ,5,9998,2,41.0,,41.0,,3500.0,3500.0,4409.0,3500.0,,,,8.160803920954665,8.160803920954665,8.391629968440892,1,1,2,1,2,2,2,2,2,2,2,10,5,0,0,0,0,0,0,0,1,49.0,45_54,0,0,1,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,0,1,0,41.0,41.0,0.0,0,0,0,,1,1,0,1,0,1,1,3500.0,3500.0,4409.0,8.160803920954665,8.160803920954665,8.391629968440892,24.835239114515858,3.251739417144966,0.0,0,1.0,1,0,1,0,0
2,48.0,2,12,2, ,3,2, , ,5,9998,2,30.0,,30.0,,3400.0,3400.0,3450.0,3400.0,,,,8.131824785007195,8.131824785007195,8.146419323098003,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,48.0,45_54,0,0,0,1,0,0,0,0,0,0,1,12,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,1,0,0,0,0,0,0,1,0,30.0,30.0,0.0,1,0,0,,1,1,0,0,1,1,1,3400.0,3400.0,3450.0,8.131824785007195,8.131824785007195,8.146419323098003,26.558891454965355,3.316325222367166,0.0,0,1.0,1,0,1,0,0
1,47.0,3,6,5, ,2, ,3,2,1,1,2,40.0,,40.0,,2850.0,2850.0,2850.0,,2850.0,,,7.955425088912672,7.955425088912672,7.955425088912672,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,47.0,45_54,0,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,40.0,40.0,0.0,0,0,0,,1,0,1,0,0,0,0,2850.0,2850.0,2850.0,7.955425088912672,7.955425088912672,7.955425088912672,16.45496535796767,2.8596241559069444,2850.0,1,1.0,1,0,1,0,0
2,39.0,4,9,3, ,2, ,3,2,1,1,2,20.0,,20.0,,2000.0,2000.0,2000.0,,2000.0,,,7.601402334583733,7.601402334583733,7.601402334583733,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,39.0,35_44,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,Superior universitaria,1,0,0,0,0,0,0,0,1,0,1,1,0,0,20.0,20.0,0.0,1,0,0,,1,0,1,0,0,0,0,2000.0,2000.0,2000.0,7.601402334583733,7.601402334583733,7.601402334583733,23.09468822170901,3.18199141046548,2000.0,1,1.0,1,0,0,0,0
1,50.0,1,9,3, ,2, ,3,2,1,1,2,84.0,,84.0,,4300.0,4300.0,4300.0,,4300.0,,,8.366602832783736,8.366602832783736,8.366602832783736,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,50.0,45_54,0,0,1,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,Superior universitaria,1,0,0,0,0,0,0,0,1,0,1,1,0,0,84.0,84.0,0.0,0,1,1,,1,0,1,0,0,0,0,4300.0,4300.0,4300.0,8.366602832783736,8.366602832783736,8.366602832783736,11.822280875398658,2.5511843510651677,4300.0,1,1.0,1,0,1,0,0
1,53.0,1,11,5, ,3,5,1, ,1,20,2,40.0,,40.0,,6000.0,6000.0,7500.0,6000.0,,,,8.699681400989514,8.699681400989514,8.922791623969637,3,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,1,1,0,1,53.0,45_54,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,0,1,1,0,0,0,1,0,0,40.0,40.0,0.0,0,0,0,,1,1,0,1,0,1,1,6000.0,6000.0,7500.0,8.699681400989514,8.699681400989514,8.922791623969637,43.30254041570439,3.791042021133848,0.0,0,1.0,1,0,1,0,1
1,60.0,1,9,3, ,3,2, , ,5,9998,2,48.0,,48.0,,4500.0,4500.0,4550.0,4500.0,,,,8.412054873292933,8.412054873292933,8.423102268016642,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,60.0,55_64,0,0,1,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,Superior universitaria,0,1,0,0,0,1,0,0,0,0,0,0,1,0,48.0,48.0,0.0,0,0,0,,1,1,0,1,0,1,1,4500.0,4500.0,4550.0,8.412054873292933,8.412054873292933,8.423102268016642,21.891839876828328,3.1307805098005828,0.0,0,1.0,1,0,1,0,0
2,53.0,2,6,5, ,2, ,3,2,1,1,2,51.0,,51.0,,1623.0,1623.0,1623.0,,1363.0,,,7.392647520721623,7.392647520721623,7.392647520721623,1,1,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,53.0,45_54,0,0,0,1,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,51.0,51.0,0.0,0,1,0,,1,1,0,0,0,0,0,1623.0,1623.0,1623.0,7.392647520721623,7.392647520721623,7.392647520721623,7.349544898790925,2.1222070342386026,1363.0,1,1.0,1,0,0,0,0
1,32.0,3,6,5, ,3,2, , ,5,9998,2,44.0,,44.0,,1300.0,1300.0,1350.0,1300.0,,,,7.170888478512505,7.170888478512505,7.208600337960199,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,32.0,25_34,0,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,1,0,0,0,0,0,0,1,0,44.0,44.0,0.0,0,0,0,,1,1,0,1,0,1,1,1300.0,1300.0,1350.0,7.170888478512505,7.170888478512505,7.208600337960199,7.085870249842536,2.09011812481758,0.0,0,1.0,1,0,0,0,0
1,37.0,1,12,2, ,3,5,1, ,1,10,2,40.0,,40.0,,2500.0,2500.0,3124.0,2500.0,,,,7.824445930877619,7.824445930877619,8.047189562170502,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,37.0,35_44,0,0,1,0,0,0,0,0,0,0,1,12,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,0,1,1,0,0,0,1,0,0,40.0,40.0,0.0,0,0,0,,1,1,0,1,0,1,1,2500.0,2500.0,3124.0,7.824445930877619,7.824445930877619,8.047189562170502,18.036951501154736,2.9463819063107377,0.0,0,1.0,1,0,0,0,0
2,36.0,2,11,5, ,3,2, , ,5,9998,2,40.0,,40.0,,3500.0,3500.0,3500.0,3500.0,,,,8.160803920954665,8.160803920954665,8.160803920954665,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,36.0,35_44,0,0,0,1,0,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,1,0,0,0,0,0,0,1,0,40.0,40.0,0.0,0,0,0,,1,1,0,1,0,1,1,3500.0,3500.0,3500.0,8.160803920954665,8.160803920954665,8.160803920954665,20.207852193995382,3.0543714996110323,0.0,0,1.0,1,0,1,0,0
