C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,target_subempleo_horas
1,54.0,1,1, , ,2, ,3,2,1,1,2,49.0,,49.0,,953.0,953.0,953.0,,953.0,,,6.860663671448287,6.860663671448287,6.860663671448287,5,2,1,2,2,2,2,2,2,2,2,10,1,0,0,0,0,0,0
2,50.0,2,3, ,3,6, , , ,1,1,2,6.0,7.0,13.0,,567.0,347.0,567.0,260.0,,,200.0,6.342121418721152,5.8522024797744745,6.342121418721152,5,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0
2,25.0,1,6,5, ,3,5,3,2,1,4,2,72.0,,72.0,,1299.0,1299.0,1299.0,1299.0,,,,7.170119543449628,7.170119543449628,7.170119543449628,5,2,1,2,2,2,2,2,2,2,2,10,1,0,0,0,0,0,0
1,27.0,2,6,5, ,2, ,3,2,1,1,2,50.0,,50.0,,1500.0,1500.0,1500.0,,1500.0,,,7.313886831633462,7.313886831633462,7.313886831633462,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,26.0,1,6,5, ,2, ,3,2,1,1,2,48.0,,48.0,,1435.0,1435.0,1435.0,,1435.0,,,7.269616749608169,7.269616749608169,7.269616749608169,5,2,1,2,2,2,2,2,2,2,2,10,1,0,0,0,0,0,0
2,43.0,2,5,4, ,6, , , ,1,1,2,60.0,,60.0,,1343.0,1343.0,1343.0,1083.0,,,,7.203405521083095,7.203405521083095,7.203405521083095,5,2,1,2,2,2,2,2,2,2,2,10,1,0,0,0,0,0,1
1,38.0,1,6,5, ,3,5,1, ,1,10,1,32.0,,32.0,,1299.0,1299.0,1299.0,1299.0,,,,7.170119543449628,7.170119543449628,7.170119543449628,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,45.0,1,9,3, ,3,5,1, ,1,6,2,40.0,11.0,51.0,,1500.0,1500.0,2042.0,1500.0,,,,7.313886831633462,7.313886831633462,7.622174594817622,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
2,49.0,2,9,3, ,2, ,2,2,1,3,2,70.0,,70.0,,900.0,900.0,900.0,,900.0,,,6.803505257608338,6.803505257608338,6.803505257608338,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,22.0,3,11,5, ,3,5,1, ,5,5000,2,40.0,,40.0,,3400.0,3400.0,3683.0,3400.0,,,,8.131824785007195,8.131824785007195,8.211754397375197,3,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,56.0,1,5,4, ,2, ,3,2,1,1,2,24.0,,28.0,28.0,903.0,903.0,903.0,,903.0,,,6.806829360392176,6.806829360392176,6.806829360392176,1,1,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,69.0,1,6,5, ,2, ,3,2,1,1,2,28.0,,28.0,,347.0,347.0,347.0,,347.0,,,5.8522024797744745,5.8522024797744745,5.8522024797744745,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,69.0,1,6,5, ,1, ,2,2,1,2,2,68.0,,68.0,,1825.0,1825.0,1825.0,,1825.0,,,7.509883061154913,7.509883061154913,7.509883061154913,6,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0
1,22.0,3,6,5, ,3,5,1, ,1,10,2,48.0,,48.0,,1300.0,1300.0,1300.0,1300.0,,,,7.170888478512505,7.170888478512505,7.170888478512505,5,2,1,2,2,2,2,2,2,2,2,10,9,0,0,0,0,0,0
2,63.0,1,11,5, ,3,2, , ,5,9998,2,30.0,,30.0,,3000.0,3000.0,3083.0,3000.0,,,,8.006700845440367,8.006700845440367,8.03398273468322,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,31.0,3,6,5, ,2, ,3,2,1,1,2,40.0,,40.0,,690.0,690.0,690.0,,690.0,,,6.53813982376767,6.53813982376767,6.53813982376767,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,43.0,1,6,5, ,3,5,1, ,1,6,2,28.0,7.0,35.0,,3900.0,2400.0,3983.0,2400.0,,,1500.0,8.268988209506656,7.783640596221253,8.290041618704489,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,28.0,3,8,1, ,3,5,1, ,4,400,1,48.0,,48.0,,1200.0,1200.0,1370.0,1200.0,,,,7.090909822079984,7.090909822079984,7.223295679562314,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,23.0,3,8,2, ,3,5,1, ,2,25,2,44.0,,44.0,,1025.0,1025.0,1025.0,1025.0,,,,6.933423025730715,6.933423025730715,6.933423025730715,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,21.0,3,6,5, ,3,5,1, ,3,60,2,48.0,,48.0,,1350.0,1350.0,1520.0,1350.0,,,,7.208600337960199,7.208600337960199,7.327123292259293,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,59.0,1,6,5, ,2, ,2,2,1,1,2,46.0,,46.0,,2500.0,2500.0,2500.0,,2500.0,,,7.824445930877619,7.824445930877619,7.824445930877619,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,51.0,2,6,5, ,6, , , ,1,1,2,42.0,,42.0,,1608.0,1608.0,1608.0,1100.0,,,,7.383368146992383,7.383368146992383,7.383368146992383,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,25.0,3,6,5, ,3,5,2,2,1,5,2,45.0,,45.0,,1100.0,1100.0,1100.0,1100.0,,,,7.00397413672268,7.00397413672268,7.00397413672268,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,27.0,3,11,5, ,3,5,2,1,1,15,2,45.0,,45.0,,1250.0,1250.0,1334.0,1250.0,,,,7.131698510466912,7.131698510466912,7.19668657083435,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,58.0,1,6,5, ,3,5,2,1,2,25,2,45.0,,45.0,,1500.0,1500.0,1584.0,1500.0,,,,7.313886831633462,7.313886831633462,7.368339686311381,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,53.0,2,6,5, ,2, ,3,2,1,1,1,20.0,,20.0,,346.0,346.0,346.0,,316.0,,,5.849324779946859,5.849324779946859,5.849324779946859,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,21.0,3,10,4, ,3,5,2,1,2,30,2,40.0,,40.0,,1025.0,1025.0,1025.0,1025.0,,,,6.933423025730715,6.933423025730715,6.933423025730715,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,66.0,1,5,4, ,2, ,3,2,1,1,2,25.0,,25.0,,200.0,200.0,200.0,,200.0,,,5.303304908059076,5.303304908059076,5.303304908059076,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,28.0,3,10,2, ,3,5,1, ,3,80,2,50.0,,60.0,60.0,3933.0,3933.0,4557.0,3500.0,,,,8.277411998949004,8.277411998949004,8.42463920980563,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,62.0,7,11,5, ,3,2, , ,5,9998,2,34.0,,36.0,36.0,4433.0,4433.0,4516.0,4000.0,,,,8.397057390176256,8.397057390176256,8.415603335654604,3,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,28.0,8,9,3, ,3,2, , ,5,9998,2,35.0,2.0,37.0,,2650.0,2500.0,2675.0,2500.0,,,150.0,7.8826922062890254,7.824445930877619,7.892078421248119,3,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,51.0,1,11,5, ,2, ,2,2,1,1,2,38.0,,38.0,,4500.0,4500.0,4500.0,,4500.0,,,8.412054873292933,8.412054873292933,8.412054873292933,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,54.0,2,12,2, ,1, ,1, ,1,7,2,62.0,,62.0,,10000.0,10000.0,10000.0,,10000.0,,,9.210440366976515,9.210440366976515,9.210440366976515,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,1,1,0
1,56.0,1,10,4, ,1, ,1, ,1,6,2,48.0,,48.0,,5000.0,5000.0,5000.0,,5000.0,,,8.517393171418904,8.517393171418904,8.517393171418904,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
